"水たまりは一度踏むと消えます。
避けられないと思った場合は水たまりを無視して進みましょう。","水たまりは一度踏むと消えます。
避けられないと思った場合は水たまりを無視して進みましょう。","Puddles disappear once you step on them.
If you think you can't avoid it, ignore the puddle and proceed."
"ライム","Lime",
"<TE:トラップライム>","<TE:トラップライム>",
"食糧庫ドア","食糧庫ドア",Pantry Door
"なんとか逃げ切った・・・","なんとか逃げ切った・・・",I managed to escape...
"シィナ","Shina",
"\n<\n[3]>踏まれに来たんだろー？
おらおらおらぁー♥
にゃはははは♥","\n<\n[3]>踏まれに来たんだろー？
おらおらおらぁー♥
にゃはははは♥","\n<\n[3>You came in here to get stepped on, rightー？
Take thatー♥
Nya-hahaha♥"
"\n<\n[3]>覗きは足コキの刑にゃん♥
ぐりぐりぐり♥
どーにゃ？もっと踏んでやろうかー？","\n<\n[3]>覗きは足コキの刑にゃん♥
ぐりぐりぐり♥
どーにゃ？もっと踏んでやろうかー？","\n<\n[3]>A footjob is your punishment for peeping-nya♥
Grind, knead, grind♥
How's thatーShould I step on you some moreー？"
"\n<\n[3]>にゃは♥
踏んだらすぐ大人しくなるし♥
これがマゾの本能ってやつにゃぁ♥","\n<\n[3]>にゃは♥
踏んだらすぐ大人しくなるし♥
これがマゾの本能ってやつにゃぁ♥","\n<\n[3]>Nya-haha♥
You get bigger when I step on it♥
That's what it's like to be a masochist♥"
"\n<\n[3]>アタシのお風呂を邪魔するなんていい度胸にゃん。
精子抜きまくって入浴剤にしてやるし♥
にゃはははは！","\n<\n[3]>アタシのお風呂を邪魔するなんていい度胸にゃん。
精子抜きまくって入浴剤にしてやるし♥
にゃはははは！","\n<\n[3]>You've got some nerve interrupting my bath。
I'll use all your sperm as bubble bath♥
Nya-hahaha！"
"\n<\n[3]>はぁ～？
もうイクにゃぁ？
じゃあトドメにゃ♥","\n<\n[3]>はぁ～？
もうイクにゃぁ？
じゃあトドメにゃ♥","\n<\n[3]>Oh～？
Cumming already？
Then go ahead and cum♥"
"\n<\n[3]>おらおらおらおらー♥","\n<\n[3]>おらおらおらおらー♥","\n<\n[3]>Take that, and thatー♥"
"\n<\n[3]>あーぁ。マジでイキやがったにゃ。
アタシまだ踏み足りないにゃぁ。
お前も踏まれ足りないだろー？","\n<\n[3]>あーぁ。マジでイキやがったにゃ。
アタシまだ踏み足りないにゃぁ。
お前も踏まれ足りないだろー？","\n<\n[3]>Ah. They really came。
I wasn't even done stepping on them。
You don't get trampled enough, do youー？"
"EV044","EV044",
"EV045","EV045",
"EV046","EV046",
"痺れ罠","痺れ罠",
"\>\C[26]罠を回避した！","\>\C[26]罠を回避した！",\>\C[26]Trap evaded！
"\>\C[14]バネの罠を踏んでしまった！\C[0]","\>\C[14]バネの罠を踏んでしまった！\C[0]",\>\C[14]Stepped on the spring trap!\C[0]
