"回想部屋","Recollection Room"
"クラスタ　誘惑イベント","クラスタ　誘惑イベント"
"EXクラスタ　雑魚バトル","EXクラスタ　雑魚バトル"
"キエリ","キエリ"
"キエリ　誘惑イベント","キエリ　誘惑イベント"
"キエリ　雑魚バトル","キエリ　雑魚バトル"
"リップス","リップス"
"リップス　雑魚バトル","リップス　雑魚バトル"
"リップス　chapter3-2体力0","リップス　chapter3-2体力0"
"ナース","ナース"
"ナース　雑魚バトル","ナース　雑魚バトル"
"ナース　誘惑イベント","ナース　誘惑イベント"
"スライム　雑魚バトル","スライム　雑魚バトル"
"夢喰い　雑魚バトル","夢喰い　雑魚バトル"
"人魚","人魚"
"シレーネ　雑魚バトル","シレーネ　雑魚バトル"
"プリズマ","プリズマ"
"プリズマ　雑魚バトル","プリズマ　雑魚バトル"
"ウィッチ","ウィッチ"
"ウィッチ　乳首挿入","ウィッチ　乳首挿入"
"ウィッチ　全身パイズリ","ウィッチ　全身パイズリ"
"ウィッチ　雑魚バトル","ウィッチ　雑魚バトル"
"ヒュプノ","ヒュプノ"
"ヒュプノ　雑魚バトル","ヒュプノ　雑魚バトル"
"ヒュプノ　踏みつけ","ヒュプノ　踏みつけ"
"シャーロット","シャーロット"
"シャーロット（獣）　お手合わせ","シャーロット（獣）　お手合わせ"
"シャーロット（獣）　幻惑バトル","シャーロット（獣）　幻惑バトル"
"シャーロット　幻惑バトル","シャーロット　幻惑バトル"
"エイミー","エイミー"
"エイミー（操られ）　ボスバトル
通常敗北　必殺敗北　誘惑敗北","エイミー（操られ）　ボスバトル
通常敗北　必殺敗北　誘惑敗北"
"エイミー　幻惑バトル","エイミー　幻惑バトル"
"エイミー　敗北の記憶　フェラ","エイミー　敗北の記憶　フェラ"
"ノノ","ノノ"
"ノノ　救出時バトル","ノノ　救出時バトル"
"ノノ　幻惑バトル","ノノ　幻惑バトル"
"アリス","アリス"
"アリス　ボスバトル
通常敗北　必殺敗北　脱衣敗北　脱衣必殺敗北
※10ターン経過で脱衣","アリス　ボスバトル
通常敗北　必殺敗北　脱衣敗北　脱衣必殺敗北
※10ターン経過で脱衣"
"\>シャーロット　Lv\v[702]","\>シャーロット　Lv\v[702]"
"\n<シャーロット>どうやって吸い取ろうかな・・・","\n<シャーロット>どうやって吸い取ろうかな・・・"
"足コキ","足コキ"
"本番　Lv15↑","本番　Lv15↑"
"変身　Lv30↑","変身　Lv30↑"
"変身パイズリ　Lv45↑","変身パイズリ　Lv45↑"
"\n<シャーロット>吸い過ぎちゃうといけないから足でするね。","\n<シャーロット>吸い過ぎちゃうといけないから足でするね。"
"\n<シャーロット>やっぱり今はやめておこう。
キミの身体が心配だよ。","\n<シャーロット>やっぱり今はやめておこう。
キミの身体が心配だよ。"
"\n<シャーロット>レベル1だね。
その辺の虫でも焼いてきなよ。","\n<シャーロット>レベル1だね。
その辺の虫でも焼いてきなよ。"
"\>エイミー　Lv\v[703]","\>エイミー　Lv\v[703]"
"\n<エイミー>お姉さんにどうしてほしいの？
にひひひ♥","\n<エイミー>お姉さんにどうしてほしいの？
にひひひ♥"
"フェラ","フェラ"
"穴責め　Lv20↑","穴責め　Lv20↑"
"騎乗位　Lv35↑","騎乗位　Lv35↑"
"\n<エイミー>ほら、おちんちん出して♥
あーん・・・♥","\n<エイミー>ほら、おちんちん出して♥
あーん・・・♥"
"\n<エイミー>じゃあこっちもいじめちゃおっかな♥","\n<エイミー>じゃあこっちもいじめちゃおっかな♥"
"\n<エイミー>しょうがないなぁ♥
お姉ちゃんが動くからね。
じっとしててね♥","\n<エイミー>しょうがないなぁ♥
お姉ちゃんが動くからね。
じっとしててね♥"
"\n<エイミー>ん？やっぱりやめとく？
あんまり溜めてたらダメだよ？
したくなったら言ってね♥","\n<エイミー>ん？やっぱりやめとく？
あんまり溜めてたらダメだよ？
したくなったら言ってね♥"
"\n<エイミー>ちょっと経験が足りないんじゃないかな？
もう少し経験値を集めておいでよ。","\n<エイミー>ちょっと経験が足りないんじゃないかな？
もう少し経験値を集めておいでよ。"
"\>アリス　Lv\v[704]","\>アリス　Lv\v[704]"
"\n<アリス>・・・
（どうしよう・・・）","\n<アリス>・・・
（どうしよう・・・）"
"オナ見せ　Lv20↑","オナ見せ　Lv20↑"
"正常位　Lv35↑","正常位　Lv35↑"
"\n<アリス>じゃ、じゃあ足でなら・・・
触ってもいいかな・・・","\n<アリス>じゃ、じゃあ足でなら・・・
触ってもいいかな・・・"
"※チャプター6をクリアする必要があります。","※チャプター6をクリアする必要があります。"
"\n<アリス>じゃあサービスしてあげます。
どうぞ♥","\n<アリス>じゃあサービスしてあげます。
どうぞ♥"
"\n<アリス>い、入れてもいいですよ・・・♥
\n[1]くんのなら・・・私・・・♥","\n<アリス>い、入れてもいいですよ・・・♥
\n[1]くんのなら・・・私・・・♥"
"\n<アリス>あ、やっぱり私ちょっと用事が・・・！
え、えへへへ！ごめんなさーい♥
また今度ですねー♥","\n<アリス>あ、やっぱり私ちょっと用事が・・・！
え、えへへへ！ごめんなさーい♥
また今度ですねー♥"
"\n<アリス>あ、レベルが足りないみたいですね！
じゃあ出来ません！
残念でしたー♥","\n<アリス>あ、レベルが足りないみたいですね！
じゃあ出来ません！
残念でしたー♥"
"オナ見せ","オナ見せ"
"正常位","正常位"
"ポリー","ポリー"
"\>ポリー　Lv\v[508]","\>ポリー　Lv\v[508]"
"\n<ポリー>どうやってスればいい？","\n<ポリー>どうやってスればいい？"
"本番 Lv20↑","本番 Lv20↑"
"パイズリ　Lv40↑","パイズリ　Lv40↑"
"\n<ポリー>足でいいの？
変わっタ人。","\n<ポリー>足でいいの？
変わっタ人。"
"\n<ポリー>童貞に戻ってえっちするノが
気持ちいいのカ？
\n[1]は面白いナ♥","\n<ポリー>童貞に戻ってえっちするノが
気持ちいいのカ？
\n[1]は面白いナ♥"
"\n<ポリー>えっちしタいの？","\n<ポリー>えっちしタいの？"
"\n<ポリー>ソーダ！ワタシおっぱい大きくできルようになったゾ♥
ちんこ挟むと絶対気持ちいい！
ヤってやる♥来て来て♥","\n<ポリー>ソーダ！ワタシおっぱい大きくできルようになったゾ♥
ちんこ挟むと絶対気持ちいい！
ヤってやる♥来て来て♥"
"\n<ポリー>うーん。やっぱリやめておく。
ごめんね。","\n<ポリー>うーん。やっぱリやめておく。
ごめんね。"
"\n<ポリー>あーあ。\n[1]レベル1。
夢喰いをいっぱいヤっつけてきて。
そしたらいっぱい食べてあげル。","\n<ポリー>あーあ。\n[1]レベル1。
夢喰いをいっぱいヤっつけてきて。
そしたらいっぱい食べてあげル。"
"\>\n[3]　Lv\v[705]","\>\n[3]　Lv\v[705]"
"\n<\n[3]>ン？
ボクに吸われたくなっちゃったノ？
くすくす♥","\n<\n[3]>ン？
ボクに吸われたくなっちゃったノ？
くすくす♥"
"\n<\n[3]>（どうやって搾り取っちゃおっカナー・・・）","\n<\n[3]>（どうやって搾り取っちゃおっカナー・・・）"
"パイズリ","パイズリ"
"授乳　Lv15↑","授乳　Lv15↑"
"フェラ Lv30↑","フェラ Lv30↑"
"手コキ Lv45↑","手コキ Lv45↑"
"\n<\n[3]>やっぱりおっぱいがいいよネ♥
さっきからずっと見てるもん。
えっち♥","\n<\n[3]>やっぱりおっぱいがいいよネ♥
さっきからずっと見てるもん。
えっち♥"
"\n<\n[3]>よちよち♥
ママがたっぷり甘えさせてアゲル♥
おいで♥","\n<\n[3]>よちよち♥
ママがたっぷり甘えさせてアゲル♥
おいで♥"
"\n<\n[3]>おくちで吸い取ってアゲル。
あーん・・・♥","\n<\n[3]>おくちで吸い取ってアゲル。
あーん・・・♥"
"通常","通常"
"主観","主観"
"\n<\n[3]>手でシコシコしてアゲル♥
服も脱いであげよっか？","\n<\n[3]>手でシコシコしてアゲル♥
服も脱いであげよっか？"
"\n<\n[3]>やっぱやーめた！
キミがシテ欲しくない時に無理やりする方が楽しいもん。
あはは♥","\n<\n[3]>やっぱやーめた！
キミがシテ欲しくない時に無理やりする方が楽しいもん。
あはは♥"
"\n<\n[3]>レベル1じゃん。
挟んだらすぐ死んじゃうカラ面白くナイ。
経験値貯めて来てヨ。","\n<\n[3]>レベル1じゃん。
挟んだらすぐ死んじゃうカラ面白くナイ。
経験値貯めて来てヨ。"
"騎乗位 Lv60↑","騎乗位 Lv60↑"
"通常版","通常版"
"髪解き版","髪解き版"
"看板","看板"
"ドレインイベント","ドレインイベント"
"雑魚敵","雑魚敵"
"ボス","ボス"
"仲間","仲間"
"レベルアップ固定くん","レベルアップ固定くん"
"レベルを変更できます。（強制的にレベル10になります）","レベルを変更できます。（強制的にレベル10になります）"
"レベルを10にする","レベルを10にする"
"夢のかけら","夢のかけら"
"夢のかけら1","夢のかけら1"
"覗いてみる","覗いてみる"
"夢のかけら3","夢のかけら3"
"夢のかけら4","夢のかけら4"
"夢のかけら2","夢のかけら2"
"夢のかけら6","夢のかけら6"
"夢のかけら5","夢のかけら5"
"童貞箱","童貞箱"
"夢喰いだ・・・","夢喰いだ・・・"
"近寄る","近寄る"
"シャーロット　お手合わせ強","シャーロット　お手合わせ強"
"プリズマ　chapter5-2体力0","プリズマ　chapter5-2体力0"
"\>ノノ　Lv\v[713]","\>ノノ　Lv\v[713]"
"\n<ノノ>私とえっちなことしたいんですかぁ？
くすくす♥
何をしてほしいのか言ってください～♥","\n<ノノ>私とえっちなことしたいんですかぁ？
くすくす♥
何をしてほしいのか言ってください～♥"
"本番 Lv30↑","本番 Lv30↑"
"\n<ノノ>足で踏まれたいんですかぁ？
変態さんですねー♥くすくす♥","\n<ノノ>足で踏まれたいんですかぁ？
変態さんですねー♥くすくす♥"
"\n<ノノ>はい♥
いっぱい暖めあいましょうね！\n[1]さん♥","\n<ノノ>はい♥
いっぱい暖めあいましょうね！\n[1]さん♥"
"\n<ノノ>焦らし上手！","\n<ノノ>焦らし上手！"
"\n<ノノ>レベルが1みたいです・・・
ノノは魔力が強いのであまり弱い人とえっちすると
吸い尽くしてしまうかもしれないので・・・","\n<ノノ>レベルが1みたいです・・・
ノノは魔力が強いのであまり弱い人とえっちすると
吸い尽くしてしまうかもしれないので・・・"
"ウィッチ　雑魚バトルその2　フェラ
通常敗北　必殺敗北","ウィッチ　雑魚バトルその2　フェラ
通常敗北　必殺敗北"
"ヒュプノ　雑魚バトルその2　仮面無し","ヒュプノ　雑魚バトルその2　仮面無し"
"ノノ　ボスバトル　キス
※ノノのLvにより強さが変化","ノノ　ボスバトル　キス
※ノノのLvにより強さが変化"
"たこちゃん　攻撃を当てた時　バトル","たこちゃん　攻撃を当てた時　バトル"
"たこちゃん　一口だけ","たこちゃん　一口だけ"
"エルフ　ボスバトル
通常敗北　脱衣敗北
※10ターン経過で脱衣","エルフ　ボスバトル
通常敗北　脱衣敗北
※10ターン経過で脱衣"
"エルフ　太もも締め","エルフ　太もも締め"
"ラミア","ラミア"
"ラミア　雑魚バトル","ラミア　雑魚バトル"
"エラッタ　通常版","エラッタ　通常版"
"エラッタ　ふたなり版","エラッタ　ふたなり版"
"リリス　最終バトル　フェラ（トゥルーEND）
通常敗北　誘惑敗北
※リリスのLvにより強さが変化","リリス　最終バトル　フェラ（トゥルーEND）
通常敗北　誘惑敗北
※リリスのLvにより強さが変化"
"リリス　最終バトル　髪解き
敗北時の攻撃によって敗北シーン変化（全4パターン）
※リリスのLvにより強さが変化","リリス　最終バトル　髪解き
敗北時の攻撃によって敗北シーン変化（全4パターン）
※リリスのLvにより強さが変化"
"\>\n[3]　Lv\v[706]","\>\n[3]　Lv\v[706]"
"エナジードレイン","エナジードレイン"
"用はない","用はない"
"\n<\n[3]>いいよほらおいで♥
あたしが気持ちよーく吸い尽くしてあげるから。
くすくす♥","\n<\n[3]>いいよほらおいで♥
あたしが気持ちよーく吸い尽くしてあげるから。
くすくす♥"
"\n<\n[3]>（何してやろっかな♥）","\n<\n[3]>（何してやろっかな♥）"
"バック　Lv15↑","バック　Lv15↑"
"ダブル手コキ Lv30↑","ダブル手コキ Lv30↑"
"ダブルフェラ Lv45↑","ダブルフェラ Lv45↑"
"\n<\n[3]>お口で気持ちよくしてあげる♥
じゅるり♥","\n<\n[3]>お口で気持ちよくしてあげる♥
じゅるり♥"
"\n<\n[3]>ほーら、じっとしてて・・・
お尻が近づいてきてー・・・
入っちゃうぞー♥","\n<\n[3]>ほーら、じっとしてて・・・
お尻が近づいてきてー・・・
入っちゃうぞー♥"
"\n<\n[3]>キルシュー♥
あれするよー♥","\n<\n[3]>キルシュー♥
あれするよー♥"
"\n<\n[3]>キルシュ♥
一緒にしよ♥
おいで♥","\n<\n[3]>キルシュ♥
一緒にしよ♥
おいで♥"
"\n<\n[3]>やっぱり今はいいや。
なんか、して欲しいってねだられたら
答えてあげるのが嫌になった。","\n<\n[3]>やっぱり今はいいや。
なんか、して欲しいってねだられたら
答えてあげるのが嫌になった。"
"\n<\n[3]>レベル1なんだけど。
そんな状態でドレインしたら死ぬよ。
死にたいの？あたしはどっちでもいいけど。","\n<\n[3]>レベル1なんだけど。
そんな状態でドレインしたら死ぬよ。
死にたいの？あたしはどっちでもいいけど。"
"\>\n[3]　Lv\v[707]","\>\n[3]　Lv\v[707]"
"\n<\n[3]>自分からおねだりしちゃうの？
・・・まぁ、いいけど。
おいで。","\n<\n[3]>自分からおねだりしちゃうの？
・・・まぁ、いいけど。
おいで。"
"\n<\n[3]>（どうしようかな。）","\n<\n[3]>（どうしようかな。）"
"キス","キス"
"セックス　Lv15↑","セックス　Lv15↑"
"ダブル尻コキ Lv30↑","ダブル尻コキ Lv30↑"
"\n<\n[3]>ほら目瞑って。
キス顔見たいなら見てもいいけど。
ん・・・","\n<\n[3]>ほら目瞑って。
キス顔見たいなら見てもいいけど。
ん・・・"
"\n<\n[3]>それじゃアソコで食べちゃおうかな。
一番効率いいし。","\n<\n[3]>それじゃアソコで食べちゃおうかな。
一番効率いいし。"
"\n<\n[3]>ねえさん一緒にしよ♥","\n<\n[3]>ねえさん一緒にしよ♥"
"\n<\n[3]>・・・なんか気分じゃなくなった。
ひとりでオナニーでもしてなよ。
猿。","\n<\n[3]>・・・なんか気分じゃなくなった。
ひとりでオナニーでもしてなよ。
猿。"
"\n<\n[3]>レベル1の癖に相手してもらえると思ったの？
勘違いしないでよ。
私はあなたのレベルが欲しいだけ。","\n<\n[3]>レベル1の癖に相手してもらえると思ったの？
勘違いしないでよ。
私はあなたのレベルが欲しいだけ。"
"お姉ちゃん","お姉ちゃん"
"お兄ちゃん","お兄ちゃん"
"シルキー","シルキー"
"\>\n[3]　支払った金額\v[742]","\>\n[3]　支払った金額\v[742]"
"マネードレイン","マネードレイン"
"\n<\n[3]>わーい♥シルキーと遊んでくれるの？
いっぱい気持ちよくなろうね♥\n[8]♥","\n<\n[3]>わーい♥シルキーと遊んでくれるの？
いっぱい気持ちよくなろうね♥\n[8]♥"
"\n<\n[3]>（どれだけ搾り取れるかな♥）","\n<\n[3]>（どれだけ搾り取れるかな♥）"
"くすぐり","くすぐり"
"だきつき　10000G↑","だきつき　10000G↑"
"えっち 　 20000G↑","えっち 　 20000G↑"
"ぺにばん  30000G↑","ぺにばん  30000G↑"
"\n<\n[3]>じゃぁくすぐりっこしよ♥
シルキーの脇をおちんちんでこちょこちょするの♥
先に音を上げた方の負け♥","\n<\n[3]>じゃぁくすぐりっこしよ♥
シルキーの脇をおちんちんでこちょこちょするの♥
先に音を上げた方の負け♥"
"\n<\n[3]>タダじゃつまらないからお金を賭けてしようよ♥
ね♥いいでしょ？
ひょっとして自身ないの？","\n<\n[3]>タダじゃつまらないからお金を賭けてしようよ♥
ね♥いいでしょ？
ひょっとして自身ないの？"
"\n<\n[3]>\n[8]はシルキーのこと好き？
いいこいいこしてあげるからおいでー♥
ぎゅーってしてあげる♥","\n<\n[3]>\n[8]はシルキーのこと好き？
いいこいいこしてあげるからおいでー♥
ぎゅーってしてあげる♥"
"\n<\n[3]>そろそろいいかな。
そこに寝転がって♥
犯してあげる♥","\n<\n[3]>そろそろいいかな。
そこに寝転がって♥
犯してあげる♥"
"\n<\n[3]>ほら\n[8]♥お尻こっちに向けて♥
可愛らしくおねだりして♥
ふりふりって誘ってよ♥","\n<\n[3]>ほら\n[8]♥お尻こっちに向けて♥
可愛らしくおねだりして♥
ふりふりって誘ってよ♥"
"\n<\n[3]>よしよし♥いいこ♥
じゃあ女の子の穴じゃない方犯してあげる♥
ほーら力抜いてー？","\n<\n[3]>よしよし♥いいこ♥
じゃあ女の子の穴じゃない方犯してあげる♥
ほーら力抜いてー？"
"\n<\n[3]>ほら\n[8]♥お尻こっちに向けて♥
可愛らしくおねだりして♥
そしたら有り金全部搾り取ってあげる♥","\n<\n[3]>ほら\n[8]♥お尻こっちに向けて♥
可愛らしくおねだりして♥
そしたら有り金全部搾り取ってあげる♥"
"\n<\n[3]>・・・
やっぱりやめた。
シルキー眠たーい！","\n<\n[3]>・・・
やっぱりやめた。
シルキー眠たーい！"
"\n<\n[3]>は？お金無いの？
シルキーと遊びたいんでしょ？
じゃあ頑張って稼いで来ないとね。\n[8]。","\n<\n[3]>は？お金無いの？
シルキーと遊びたいんでしょ？
じゃあ頑張って稼いで来ないとね。\n[8]。"
"\n<\n[3]>あ、鍵開けといたから。
お金出来たら来てね。
ばいばーい。","\n<\n[3]>あ、鍵開けといたから。
お金出来たら来てね。
ばいばーい。"
"アニマ","アニマ"
"アニマ
通常敗北　必殺敗北
※童貞だと通常敗北が変化","アニマ
通常敗北　必殺敗北
※童貞だと通常敗北が変化"
"シャーロットのかけら1","シャーロットのかけら1"
"シャーロットのかけら2","シャーロットのかけら2"
"シャーロットのかけら3","シャーロットのかけら3"
"親父のかけら","親父のかけら"
"お母様のかけら","お母様のかけら"
"リリス　キス誘惑","リリス　キス誘惑"
"リリス　人形丸飲み","リリス　人形丸飲み"
"EV101","EV101"
"シルキー
通常敗北　わからせ棒装備敗北","シルキー
通常敗北　わからせ棒装備敗北"
"シープ　ミニマム弄り","シープ　ミニマム弄り"
"回想部屋では見られないもの
・誘惑ゲーム（chapter2-1等）
・救出イベント（chapter5-1等）","回想部屋では見られないもの
・誘惑ゲーム（chapter2-1等）
・救出イベント（chapter5-1等）"
"・その他（戦闘を挟まないイベント等）","・その他（戦闘を挟まないイベント等）"
"※イージーモード等でさくっとプレイできますので
よろしければ最後まで遊んで頂けると嬉しいです。
オプションから設定できます。","※イージーモード等でさくっとプレイできますので
よろしければ最後まで遊んで頂けると嬉しいです。
オプションから設定できます。"
"エイミー　お手合わせ
通常敗北　必殺敗北
※エイミーのレベルにより強さが変化","エイミー　お手合わせ
通常敗北　必殺敗北
※エイミーのレベルにより強さが変化"
"アリス　お手合わせ
通常敗北　必殺敗北
※アリスのレベルにより強さが変化","アリス　お手合わせ
通常敗北　必殺敗北
※アリスのレベルにより強さが変化"
"リグレット　お手合わせ
通常敗北　必殺敗北
※自分のレベルによって強さが変化","リグレット　お手合わせ
通常敗北　必殺敗北
※自分のレベルによって強さが変化"
"サキュバス　エナジードレイン
※レベルが1になります。","サキュバス　エナジードレイン
※レベルが1になります。"
"ローズ　エナジードレイン
※レベルが1になります。","ローズ　エナジードレイン
※レベルが1になります。"
"シレーネ　さかなつり","シレーネ　さかなつり"
