"EV001",""
"\n<\n[3]>今日はもう逃げるのやめてー、
私と気持ちいいことしちゃおうよ♥
ねー♥おいでおいでー♥","\n<\n[3]>No more running today,
come and have some fun with me♥
Please-♥ Come on, come on-♥"
"--------ここから選択肢-------------",""
"\n<\n[3]>そんなにおっきくしてるのに我慢するのー？
一度出してすっきりした方がいいんじゃないかなー？
出しておいた方がいいでしょー？ほーら♥","\n<\n[3]>Why would you resist when it's so big-?
Wouldn't it feel nice to cum just once-?
Cum for me just one time-? Hoora♥"
"\n<\n[3]>うんうん♥
いい子だねー♥
いっぱい甘えていいからねー♥","\n<\n[3]>There you go♥
Good little one-♥
I'll take good care of you now-♥"
"--------ここからクリア------------",""
"\n<\n[3]>もー・・・
こんなに誘ってるのにダメなのー？
あーあ。","\n<\n[3]>もー・・・
こんなに誘ってるのにダメなのー？
あーあ。"
"\n<\n[3]>じゃあもう無理矢理捕まえて搾っちゃうから。
優しくしてあーげない♥","\n<\n[3]>Well then, next time I'll have to catch you and drain you
by force. And I won't be gentle♥"
"\n<\n[3]>誘いを断ったこと後悔するぐらい
いっぱいびゅーびゅー出させてあげるからねー♥","\n<\n[3]>You're going to regret turning down my invitation
when I catch you and milk you a whole bunch-♥"
"アイテムサンプル","アイテムサンプル"
"\n<リリー>みーつけた♥","\n<Lily>Caught you♥"
"\n<リリー>あら・・・
果物ナイフなんか持っちゃって。
危ないわねー。","\n<Lily>Oh dear...
Is that a fruit knife you're holding?
Those can be so dangerous you know-."
"\n<リリー>そんな物騒なもの置いて？
ねぇ、私と気持ちいいことしましょう♥
ほら見て♥","\n<Lily>Can you put that dangerous thing down?
Hey, let's do some naughty things together♥
Hora, look here♥"
"\n<リリー>ふーり♥ふーり♥
あはっ♥
見ちゃったわね♥","\n<Lily>Sway sway♥Shake shake♥
Aha♥
You can't help but look, can you?♥"
"\n<リリー>あんたのそのレベルじゃ
こーんなあからさまな誘惑でも
おちんちんにきちゃうでしょ♥","See the current state you're in now?
Even with such blatant temptation like this,
your penis is becoming totally entranced, you know?"
"\n<リリー>ねぇ♥気持ちいい事しましょ？
そんな小さなナイフなんて置いて♥","\n<Lily>Hey, it feels good, right?
You've got such a little knife♥"
"\n<リリー>ナイフなんかよりその股間についてる武器を握らないと♥
サキュバスは倒せないわよ？
くすくす♥","\n<Lily>The only weapon you can hold is the one attached to your crotch♥
There's no way to defeat a succubus, right?
Heehee♥"
"目を背ける","目を背ける"
"ナイフを置く","ナイフを置く"
"ペニスを握る","ペニスを握る"
"<random><timer>","<random><timer>"
"\n<\n[3]>あはっ♥本当に置いちゃった。
バカね。
そんなにオマンコしたかった？くすくす♥","\n<\n[3]>あはっ♥本当に置いちゃった。
バカね。
そんなにオマンコしたかった？くすくす♥"
"\n<\n[3]>あーぁ♥握っちゃった♥
サキュバスのオマンコ見ながらソレ握っちゃったら
もうやることはひとつしかないよねー♥","\n<\n[3]> Ah♥ I'm stroking it♥
If you stroke it while looking at succubus pussy,
there's only one thing that can happen♥
"
"\n<\n[3]>はい時間切れ♥
見てるだけで我慢汁だらだら♥
もう逃げられないでしょ。くす♥","\n<\n[3]>You're out of time♥
Just looking at it, you're dripping with pre-cum.
Heehee♥"
"\n<\n[3]>どこ見てるの？
ねぇ、私を見なさいよ♥
見てると我慢できなくなっちゃう弱虫なの？","\n<\n[3]>Where are you looking?
Hey, look at me♥
Can you not get it up when you're looking at a pussy?"
"\n<\n[3]>くすくす♥
ちょっとアソコ見せただけでウブな反応しちゃって。
あんたそれでもハンターなの？","\ n<\n[3]> Heehee ♥ 
Just a little teasing made you react like that?
Can you even call yourself a hunter anymore?"
"\n<\n[3]>ひとつ言っておくけど、
『そんなもの』じゃ私たち淫魔は倒せないからね？
武器は効かないの。もちろん知ってるわよね。","\n<\n[3]>Let me tell you something. 
You can't defeat a succubus with something like that, right? 
Weapons don't work. But you know that already."
"\n<\n[3]>ま、好きにしなさい。
もっと抗ってみせてね♥
雑魚ハンターさん♥","\n<\n[3]>I hope you like it. 
Show me more♥
Little succubus hunter♥"
"リリー","Lily"
"\n<リリー>ふふ…っ。かわいいサイズになったわね？ 
とっても美味しそうじゃない","\n<Lily>Fufufu, this is a cute size, right?
 You don't look very tasty, though."
"\n<\n[1]>あぁ……っ、や、やめて……","\n<n\[1]>Ah!...No...S...stop!"
"突然、背後に現れたリリーが私を摘み上げ、
自分の目の前まで持ち上げる。","Suddenly, Lily appeared behind me and scooped me up into her hand.
She lifts me up right in front of her face."
"必死にもがくけど、今の私は8㎝もないくらいの大きさ。
彼女の細い指すら振り払えない。","I struggle desperately, but I'm only about 8cm tall now.
 I can't even fight off her pinky finger."
"\n<\n[1]>やだっ！ 離して…！","\n<\n[1]>No! Let go of me...!"
"\n<リリー>うふふ……そんなこと言っても許さない。
このまま食べてあげる","\n< Lily>""Ufufu...you're not allowed to talk to me that way.
I'm going to eat you, just like this."""
"ふぅ…っ。熱い吐息が吐き掛けられる。","Haaaaa... A hot, heavy sigh rolls out of her mouth."
"それだけで、アタシの身体は敏感になって……
無理やり生やされたおちんちんがびくん、と反応してしまう。","Even that alone got me going...
My cock reacts instinctively to the warmth and wetness."
"ふたなりの身体なんて厄介だ……これも早く、治したいのに。","This futanari body is obnoxious. I hope this spell wears off soon."
"\n<\n[1]>んんっ！！……くぅっ","\n<\n[1]>Haaaa!！……squeeze!"
"\n<リリー>あらあら？ どうしたのかしら？","n\<Lily> Oh? What's wrong?"
"\n<\n[1]>なんでもなっ……ひゃっ！ あぁ…っ……","\n<\n[1]>N...nothing! Ah! Ahh!"
"意地悪な顔を浮かべたリリーの……大きな唇が開く。
ほんの少し開いただけなのに、
私が呑み込まれそうなくらいの暗黒が広がる……","Lily makes a devilish face, her full lips gaping open.
Even though her mouth is only open a little bit, 
the realization that she's going to eat me is overwhelming..."
"\n<リリー>逃げないの？ じゃあ、遊んじゃうわよ？","\n<Lily> You're not trying to escape? Well then, 
maybe we should play a bit?
"
"にゅるり。巨大な壁のような舌先が飛び出す。
私は、顔どころか……上半身を丸ごと舐め上げられる。","The glistening tip of her massive tongue pops out.
She drags it across not just my face, but across
my entire upper body
"
"\n<\n[1]>ひぃっ！？……あっ、ああぁ～っ！！","\n<\n<[1]>Aaah?! A-ah!"
"\n<リリー>ちゅぷ……うふふ、ビクビク震えちゃってかーわい♪ 
それじゃあ、いただきまーす","\n<Lily>Slurp... Ahaha! You're trembling♪ 
Well then, time to eat!"
"\n<\n[1]>い、いやぁっ！ だめぇっ！","\n<\n[1]>No! No, no!"
"食べられる。このまま食べられてしまう……
でも、それを考えただけで……
過敏になったおちんちんがびくんと震えてしまう。","I'm just food. She is going to eat me up at this rate.
Even just thinking about it...
makes my cock begin to throb."
"なぜか、命の危険を感じれば感じるほどよけいに張りつめて……
痛いくらいになってしまう。","For some reason, the more fear I feel, the harder I get...
it's starting to become painful."
"べろりっ、ぷちゅり……っ。","Liiiick, suuuuck."
"ぬめる舌が這い回るたび、私の小さな体は上下左右に動かされる。","Every movement of her slimy tongue pushes my tiny body left and right, up and down."
"大きな舌で、ずりずり……、ずりゅずりゅ……っ
顔も上半身も思い切り埋めつぶされ、
息もできないほど舐めこすられる。","Her massive tongue lapping... slurping...
 It's completely smothering my face and upper body. She licks so much that I can't even breath."
"そして、その動きに合わせて……","And, because of that motion..."
"\n<\n[1]>きゃうんっ！ はっ、はぁあんっ！","\n<\n[1]>Haaaa! Aaaah! Aaahh!"
"お腹の奥がきゅんきゅん疼いて、甘い声を上げさせられてしまう。
その感覚は小さい体にはとても強烈で……
もう、まるで抵抗なんてできる状態じゃない。","My insides are aching, and I can't help but cry out in a pathetic voice.
 The feelings are too big for such a tiny body...
I'm in no state to resist her."
"\n<リリー>うふふ……気持ちいいでしょう？ 
ほぉら、もっともっと可愛がってあげる","\n<Lily> Ufufu...It feels good, doesn't it?
Well then, I'll have to shower you with love."""
"\n<\n[1]>あっ！ あぁ…っ！ だ、め……だめぇえっ！","\n<\n[1]>Ah! Ah...! No, no, no. ...... No!"
"じゅるじゅると舌が巻き付いて吸い付いてくる。
巨大な舌はずりずりと肌の上を這って、今度は足先を唇に挟まれる。","The flesh coils around my body and sticks to me. 
Her huge tongue crawls across my skin, and she pinches my toes between her lips."
"\n<\n[1]>あっ！？ ……や、だ……っ！！","\n<\n[1]> Wha..?!... No!!"
"\n<リリー>だぁーめ。それじゃ……あ～ん……っ♪","\n<Lily>Well then...aaaah♪"
"ぱくり。ちゅぷ。","Slurrrp! Suuck!"
"足先から膝まで一気に唇に吸い込まれた。
そのまま激しく口の中で弄ばれる。
たちまち全身に甘い痺れが広がっていく。","My legs, from my toes to my knees, are sucked between her lips.
 They're tossed about violently by her tongue.
A sweet numbness begins to spread throughout my body."
"腰が跳ねる。逃げられない…っ……。","My hips bounce against her flesh. I'm trapped."
"\n<\n[1]>（だめ……っ！ こんなの、ダメだよぉ……っ！！）","\n<\n[1]> (No...! No, this is really bad...!!)"
"私はハンター。サキュバスを倒す存在なんだ。
なのに今、目の前にいる悪魔にはそんなこと関係なく
手も足も出なくて……","I'm a hunter: I'm the one who's supposed to defeat the succubi.
 But now, even with one right in front of me,
I'm not able to fight back..."
"ただ私は舌で弄ばれ……そして食べられようとしてる。
それを考えるだけで、身体中が熱くなる。
心臓が激しく脈打ち、頭がぼーっとしてくる。","Being toyed with by her tongue, seconds away from being eaten...
 Just thinking about it makes my entire body hot.
My heart throbs violently and my head becomes foggy with lust."
"\n<リリー>さっきより大きくなってるわね。感じてるんでしょ？
もっと気持ちよくしてあげる","\n<Lily>It's gotten bigger than it was before, huh? It feels good, right? I'll make you feel even better."""
"\n<\n[1]>そ、そんなわけ……っ！","\n<\n[1]>No, that's not true...!"
"急に見透かされたような声を掛けられる。
でも、それさえ強烈な刺激……","She's suddenly talking like she's seen right through me.
Now, even that is getting me hot..."
"私はおちんちんをさらにびくびくと震えさせて
腰をくねらせるしかない。
お腹が熱い……、おちんちんが痛い…っ……。","My cock began to quiver even more,
and I couldn't stop myself from bucking my hips. 
Pleasure builds up in my stomach, and my dick begins to throb"
"\n<リリー>遠慮しないで？ あなたは私の獲物。
たっぷり味わわせてあげる。狂うくらいにね？","\n<Lily> ""Don't resist. You're nothing but my prey.
I'll give you a good, long taste. You're gonna go crazy in there, right?"""
"\n<\n[1]>ち、違う……！ ちが…う、もん……っ！","\n<\n[1]>Waah, no......! I can't.........!"
"\n<リリー>あらそれ本当？ 
それじゃあもっと奥まで味わって教えてあげないとね？","\n<Lily> ""Oh? Am I hearing you right?
 Then I'll have to taste you more thoroughly."""
"\n<\n[1]>あ……っ、んひゃうぅぅっ！！？","\n<\n[1]>"
"突然、リリーの歯が私の太ももを挟み込む。
きちり、鈍い痛みの刺激と……それ以上の快感。","Suddenly, Lily's teeth pinch my thighs.
 I feel immense pressure, and pain...and more pleasure."
"ぬぢゅ……っ、ちゅるる……っ！
歯で押さえつけられた私の身体がさらに
一気に唇の間へ引き摺り込まれる。","My body is pressed even harder between her teeth. 
I'm suddenly pulled between her lips all at once."
"\n<\n[1]>！！","\n<\n[1]>！！"
"ぷちゅり…っ。
限界まで張りつめていたおちんちんが柔らかい唇に触れ……","Smack...
My penis, which was already tense to the very limit, brushed against her soft lips."
"じゅるるるる……っ！
 一気に口内のぬるぬるの粘膜の中に突っ込んでいった。","Schlurrp ...!
I quickly plunged into the slimy mucous membrane of her mouth"
"\n<\n[1]>～～～ッ！！！！","\n<\n[1]>~~~gasp!!!!"
"一瞬で視界がピンク色のフラッシュで染まる。思考が吹き飛ぶ。
ぬるぬるの唾液で濡れた粘膜でおちんちんを急にこすられる
直接的な刺激。","My thoughts disappear, blown away by a pink flash of light.
The saliva-covered tongue rubs against my cock, directly stimulating me."
"気が遠くなりそうなほどの衝撃。でも、まだ終わらない。","It's so much that I can't take it. But it isn't over yet."
"ぐちゅ、ぐちゅちゅちゅ……っ！
アタシのおちんちんを狙って唇裏の粘膜と分厚い舌先が挟みい
擦るように扱きあげてきた！","Squish, squish...!
My cock is sandwiched between the puffy flesh on the back of her lips 
and the thick tip of her tongue."
"\n<\n[1]>あ""っ！ あぁあああ～～～っ！！！","\n<\n[1]>Ahh..!??"
"\n<リリー>うふふ……いっぱい出していいのよ？ ほら、ほらほら！","\n<Lily>Ufufu...are you gonna squirt out a lot for me? Come on! Come on!"
"\n<\n[1]>あ、あ、あぁぁぁぁぁっ！ やっ、やだぁぁぁぁぁぁ！！","\n<\n[1]>Aaaaaaaaahhhhhh~ No, no!!!"
"あっさり、限界が訪れた。","I was effortlessly brought to my limit"
"どくん、どくんどくんっ！ 
お腹の奥から熱いものがせり上がる感覚。
耐えられない。出ちゃう……っ！","Ba-dum!Ba-dum!Ba-dum!
I can feel pleasure boiling up from the depths of my stomach.
I'm gonna...!"
"\n<\n[1]>～～～っ！！","\n<\n[1]>~~~Kkh!"
"びゅるっ！ びゅるるるるっ！！ 
声にならない悲鳴を上げて、私は勢いよく射精した。","With a muffled scream, I cum hard"
"頭の中で火花が弾けて真っ白になる。何も考えられない。
ただ、体液を吐き出しながらビクビクとおちんちんが痙攣するだけ……。","Fireworks explode in my head, and my mind goes white. I can't think of anything. 
My cock begins to cramp as it continually spurts out ropes of white fluid"
"\n<リリー>うふふ、美味しい♪","\n<Lily>Ufufu, delicious♪"
"満足そうに笑うリリーの声。
舌先が動いて、吐き出した精液を残さず舐めとっていく。","Lily's voice surrounds me, chuckling with satisfaction.
The tip of her tongue slurps up all the semen she's forced out of me."
"\n<\n[1]>あぁぁっ！ うあぁぁぁぁっ！！","\n<\n[1]>Auuhhhh! Aaaahh!"
"射精直後の敏感な亀頭がごりゅごりゅ擦られ、
腰がさらにびくんびくん跳ねる。","My tip, still sensitive from ejaculating, is rubbed even more. 
My hips shake violently at her touch"
"淫魔に捕まれば、1回の射精では済まされない。
私はその事実を身をもって思い知らされる。","""If you're caught by a succubus, you won't be allowed to come just once.""
 I am solemnly reminded of that fact."
"にゅる…っ、にゅる……、ぷちゅ、ぬちゅぷ……っ
まるで麦粒をなぞるような小さい小さい舌先の動き。","Wriggle...wriggle...slurp....
The tip of Lily's tongue waves lightly against me, like a stalk of wheat in the wind"
"それだけで私は強引に刺激され、
萎えたばかりのおちんちんが無理やり勃起させられていく……。"," I'm being forcibly stimulated by her tongue's gentle motions.
My tired, flaccid cock began to swell back up again..."
"\n<リリー>んふ…♪ ああでも、このまま遊んでると
アイツらと取り合いになっちゃうから……","n\<Lily> Hmm...♪ If that's how you're gonna be,
 I'll have to play rough with you..."
"にゅるり……っ。
唇がゆっくり広がる感触。","Squiish...
Her plush lips slowly begin to part."
"しっかり挟み込まれていた腰が解放された……
そう思った次の瞬間、
全身がにゅるにゅると口の中へ吸い込まれはじめる。","My waist, so firmly held before, had been released...
No sooner did I think this, then she began to suck my entire body into her mouth."
"\n<\n[1]>…えっ！？","\n<\n[1]>...wha?!"
"\n<リリー>次はお口の中でもっと遊びましょう？ 
……ドロドロのぐにゅぐにゅにしてあげる","\n<Lily>Let's play with you in my mouth a little more, shall we?
...I'll make you alllll messy."
"\n<\n[1]>そんな……や、やだ、やだぁ……っ！","\n<\n[1]>I can't... oh no,no ......!"
"そんなの嫌だ。
こんなに興奮させられた状態で全身舐められたら……！","I hate this.
If I'm licked so much while I'm so excited, I'll...!"
"でも、抵抗しようにも腕も足も動かせない。
必死で腰をよじるけど、それも舌先だけで押さえつけられる。","I can't move my arms or legs in order to fight back.
 I desperately twist my hips, but she can hold me down with just the tip of her tongue."
"…ちゅぷっ……。
唇が鳴る情けない音とともに、
私はあっけなくリリーの口内に引きずり込まれた。","...chupu...
With this pitiful sound from her lips,
I was dragged effortlessly into Lily's mouth."
"くちゅぅぅぅぅ……っ","Suu~uuu~cck"
"\n<\n[1]>ひぎっ！？","\n<\n[1]>!?"
"再度の激しい目眩を伴う吸引。
射精直後のおちんちんを襲う激しい摩擦。","Lily continues sucking.
 It's a violent pleasure that is hard to resist after cumming once already."
"ずりゅずりゅずりゅっ。
舌の表面に全身で押し付けられて腰ごと、
おちんちんごと全身を舐めしゃぶられる。","My whole body is pressed against the bumpy surface of her tongue. 
She licks and sucks every inch of me."
"\n<\n[1]>（こ、んなの……無理っ！ 無理矢理、出され……出ちゃう……っ！）","\n<\n[1]> (Ah! No!...She's forcing me to....I'm gonna...!)"
"\n<\n[1]>あ、あぁ……っ、ああぁぁぁ……っ！！","\n<\n[1]> Ah! Aah...! Aaaaa..!"
"どくんっ！ どくんどくんっ！！ 
心臓が爆発しそう。
再び奥底から熱く激しくせり上がってくる射精感。","Ba-dum! Ba-dum! Ba-dum!!
My heart's gonna explode!
Burning pleasure erupts inside me"
"腰が震える、跳ねる。でも動けない。
舌肉と上顎にしっかり挟みつぶされて、全身の痙攣まで味わわれる。","I desperately want to thrust my hips. But I'm totally stuck.
She laps at my entire body, which is caught between her tongue and the roof of her mouth."
"ずりゅん…っ、ずりゅりゅ……っ。
舌と上顎が交互に前後に動いて、
私の全身がごりゅごりゅと擦られてく。","Lily's tongue and hard palette take turns moving back and forth...
My whole body is rubbed against the slick flesh."
"ぬりゅぬりゅ、ぢゅるぢゅる……っ！
唾液が全身に絡んで沁みこんで……
肌もおちんちんもどんどんヌルヌルにされる。","Schlorp, slurp...!
I'm completely smeared in suffocating saliva.
My skin and cock become more and more slimy every second"
"\n<リリー>あらあら、また出ちゃうの？ いいわよ、いっぱい出して♪","\n<Lily>Oh, are you gonna come again? Squirt out a lot for me♪"
"リリーの言葉と同時に、
下半身全体が搾り上げられるように強く締め付けられた。","As she spoke, 
Lily's muscles tightened around my entire lower body."
"どっぷり分厚い舌肉におちんちんがぐじゅぐじゅ埋まって、
敏感な先端が温かい粘膜で一気に擦られて……っ","My cock is buried in the ridges of her thick tongue.
The tip is massaged by the soft, sticky flesh"
"\n<\n[1]>あぁぁぁぁーーーっ！！ んぅあぁぁぁぁぁぁぁぁぁっ！！！","\n<\n[1]> Ahhhh!! Uaaaahh!!!"
"びゅるるるっ！！ びゅーーーっ！！ びゅるるるるるるっ！！！","Splooosh! Stroke, stroke!! Sploosh!"
"二度目の射精。
一度目の射精よりさらに勢いよく、熱いものが尿道を通っていく。","I come again.
It's even harder than the first time. Hot cum gushes out of the tip of my cock"
"どぼ、どぼどぼ……
吐き出された精液が私の腰とリリーの舌肉の間に溜まって、
ぼちゃぼちゃ波を立てる。","Excess semen pools between my groin and Lily's tongue.
 It froths and bubbles against the slippery pink surface."
"\n<\n[1]>はぁ……っ、あぁ……っ、んぅ…","\n<\n[1]> Haaa....haa...."
"あまりの快感に意識が遠ざかる。
もうダメ……！
このまま…このまま、眠ってしまいたい……楽になりたい……っ…","The excessive pleasure is making me space out.
 This isn't good..!
 I just..I just want to fall asleep. "
"\n<リリー>あら、だめよ？ 気を喪わせてもらえるわけないじゃない","\n<Lily> ""Oh? You're not disappointed, are you?"""
"ぬりゅっ！ ぬにゅるるるっ……","Smeaarr! Squiiish...."
"\n<\n[1]>んっ！！ ひぃ…っ、んふうぅぅぅ……っ！！","Squish! Draaag!"
"そんな甘い考えを見透かすような言葉と共に、
口内の舌肉が激しく前後する。","The fleshy surface of her tongue moves back and forth violently
as it forms honeyed, poisonous words."
"根元から裏筋にかけて……、つま先から頭にかけて……
何度も粘膜が往復し、おちんちんも全身も、まとめて撫で回される。","From my crotch to my back...from my toes to my head...
the slimy surface rubs against me, stroking my genitals and body at the same time."
"上下に動く喉元がごくっ、こく……と、
腰まわりの溜まった精液を喉に流し込んでいく。","The semen swirling around my waist begins to drain down into the back of Lily's throat."
"精液だけじゃない。
今度は私の身体もずりゅ、ずりゅ……舌肉を滑って、
喉へと流されていく……","It's not just the semen;
 This time my body is also being gulped down, slipping on her curved tongue...
slipping right into her throat."
"\n<\n[1]>え……っ！？","\n<\n[1]>Wha...?"
"\n<リリー>もうわかっているでしょ？ 最後の射精はおなかの中。
……ん、さっきより濃くて美味し♪","\n<Lily>Oh, have you figured it out?
 Your last splashes of semen are in my belly. It's thicker and tastier than before ♪"
"\n<\n[1]>や、やだ……飲まないでっ！ 呑み込まないでぇぇ……っ……","\n<n[1]>No! Don't do it! Don't swallow me!"""
"\n<リリー>だめよ。いまさらアイツらに取られるのもいやだし……
私の胃で射精しながら溶けなさい♪","\n<Lily>No. I can't let the others have you anymore. 
Cum while you're melting inside my stomach ♪ "
"ずりゅずりゅ、ずりゅりゅりゅ～っ。
リリーの舌がさらに持ち上がる。","Lily's tongue lifts me up even higher."
"私はおちんちんごと粘膜の上を滑って……
ずるずる、喉奥へ落ちていく。","Her slippery flesh slides against my cock...
 I lose my balance and fall towards the back of her throat."
"にゅるるる……っ！
足先が口内よりもずっと熱くて柔らかく溶けた部分に沈む。","My toes sink into the velvety flesh of her throat, which is both hotter and softer than her mouth."
"舌がさらにせりあがって、
全身が喉奥の柔らかい部分に押し込まれ……っ。","Her tongue rises up further,
 pushing my whole body into the pusling opening at the back of her throat."
"\n<\n[1]>（や、ばい……これ、死んじゃう……）","\n<n[1]>(No,no...this is it for me...)"
"私の身体がリリーのお腹の中に沈んでいく。
もう、止められない……止める方法がない……っ","My body begins its descent towards Lily's stomach.
 There's no way to stop it now."
"ん……っ♪","Mmph ♪ "
"こくり……っ。
リリーの喉が変なくらいに可愛らしく鳴って……","
Lily's throat made an oddly cute noise..."
"MP_SET_MOVIE e23_c4_2","MP_SET_MOVIE e23_c4_2"
